# at fixed P/GPa   |     phase1   |    transits to    |    phase2   |   when T increases to T/K
          784.00 sh-Mg + B2-MgO         ---------> fcc-Mg + B2-MgO            2737.48
          786.00 sh-Mg + B2-MgO         ---------> fcc-Mg + B2-MgO            2878.27
          788.00 sh-Mg + B2-MgO         ---------> fcc-Mg + B2-MgO            3016.96
          790.00 sh-Mg + B2-MgO         ---------> fcc-Mg + B2-MgO            3154.18
          792.00 sh-Mg + B2-MgO         ---------> fcc-Mg + B2-MgO            3288.20
          794.00 sh-Mg + B2-MgO         ---------> fcc-Mg + B2-MgO            3419.99
          796.00 sh-Mg + B2-MgO         ---------> fcc-Mg + B2-MgO            3548.84
          798.00 sh-Mg + B2-MgO         ---------> fcc-Mg + B2-MgO            3677.66
          800.00 sh-Mg + B2-MgO         ---------> fcc-Mg + B2-MgO            3801.92
          802.00 sh-Mg + B2-MgO         ---------> fcc-Mg + B2-MgO            3925.80
          804.00 sh-Mg + B2-MgO         ---------> fcc-Mg + B2-MgO            4045.86
          806.00 sh-Mg + B2-MgO         ---------> fcc-Mg + B2-MgO            4166.98
          808.00 sh-Mg + B2-MgO         ---------> fcc-Mg + B2-MgO            4285.64
          810.00 sh-Mg + B2-MgO         ---------> fcc-Mg + B2-MgO            4402.29
          812.00 sh-Mg + B2-MgO         ---------> fcc-Mg + B2-MgO            4519.53
          814.00 sh-Mg + B2-MgO         ---------> fcc-Mg + B2-MgO            4632.05
          816.00 sh-Mg + B2-MgO         ---------> fcc-Mg + B2-MgO            4743.10
          818.00 sh-Mg + B2-MgO         ---------> fcc-Mg + B2-MgO            4854.14
          820.00 sh-Mg + B2-MgO         ---------> fcc-Mg + B2-MgO            4962.94

          756.00        t-Mg3O2         ---------> fcc-Mg + B2-MgO            2543.00
          758.00        t-Mg3O2         ---------> fcc-Mg + B2-MgO            2553.59
          760.00        t-Mg3O2         ---------> fcc-Mg + B2-MgO            2564.34
          762.00        t-Mg3O2         ---------> fcc-Mg + B2-MgO            2575.11
          764.00        t-Mg3O2         ---------> fcc-Mg + B2-MgO            2585.73
          766.00        t-Mg3O2         ---------> fcc-Mg + B2-MgO            2596.05
          768.00        t-Mg3O2         ---------> fcc-Mg + B2-MgO            2605.97
          770.00        t-Mg3O2         ---------> fcc-Mg + B2-MgO            2615.51
          772.00        t-Mg3O2         ---------> fcc-Mg + B2-MgO            2624.76
          774.00        t-Mg3O2         ---------> fcc-Mg + B2-MgO            2633.83
          776.00        t-Mg3O2         ---------> fcc-Mg + B2-MgO            2642.78
          778.00        t-Mg3O2         ---------> fcc-Mg + B2-MgO            2651.69
          780.00        t-Mg3O2         ---------> fcc-Mg + B2-MgO            2660.61
          782.00        t-Mg3O2         ---------> fcc-Mg + B2-MgO            2669.61

          784.00        t-Mg3O2         ---------> sh-Mg + B2-MgO            2672.01
          786.00        t-Mg3O2         ---------> sh-Mg + B2-MgO            2665.19
          788.00        t-Mg3O2         ---------> sh-Mg + B2-MgO            2658.44
          790.00        t-Mg3O2         ---------> sh-Mg + B2-MgO            2651.73
          792.00        t-Mg3O2         ---------> sh-Mg + B2-MgO            2645.02
          794.00        t-Mg3O2         ---------> sh-Mg + B2-MgO            2638.28
          796.00        t-Mg3O2         ---------> sh-Mg + B2-MgO            2631.50
          798.00        t-Mg3O2         ---------> sh-Mg + B2-MgO            2624.63
