# V (a.u.^3)  Helmholtz Free Energy (Ry.)
# T= 0.000000 K
# T= 3100.000000 K
 188.4475     -1.119880033
 183.1165     -1.121826672
 177.8865     -1.122332847
 172.7240     -1.121438224
 167.6965     -1.120164226
 162.7700     -1.116123161
 153.2210     -1.104989739
 144.0095     -1.084690407
 135.2030     -1.055668990
 126.7675     -1.012942226
 118.6695     -0.955239617
 110.9430     -0.880107335
# T= 3200.000000 K
 188.4475     -1.131623880
 183.1165     -1.133430338
 177.8865     -1.133787697
 172.7240     -1.132731824
 167.6965     -1.131342092
 162.7700     -1.127145974
 153.2210     -1.115784890
 144.0095     -1.095262372
 135.2030     -1.066085791
 126.7675     -1.023202887
 118.6695     -0.965380787
 110.9430     -0.890196220
# T= 3300.000000 K
 188.4475     -1.143486143
 183.1165     -1.145152446
 177.8865     -1.145361040
 172.7240     -1.144143700
 167.6965     -1.142638332
 162.7700     -1.138287159
 153.2210     -1.126698333
 144.0095     -1.105952756
 135.2030     -1.076620823
 126.7675     -1.033581688
 118.6695     -0.975639718
 110.9430     -0.900402222
# T= 3400.000000 K
 188.4475     -1.155463246
 183.1165     -1.156989423
 177.8865     -1.157049299
 172.7240     -1.155670286
 167.6965     -1.154049377
 162.7700     -1.149543149
 153.2210     -1.137726508
 144.0095     -1.116757997
 135.2030     -1.087270539
 126.7675     -1.044075089
 118.6695     -0.986012888
 110.9430     -0.910721845
# T= 3500.000000 K
 188.4475     -1.167551822
 183.1165     -1.168937903
 177.8865     -1.168849108
 172.7240     -1.167308222
 167.6965     -1.165571866
 162.7700     -1.160910586
 153.2210     -1.148866062
 144.0095     -1.127674743
 135.2030     -1.098031594
 126.7675     -1.054679755
 118.6695     -0.996496978
 110.9430     -0.921151796
# T= 3600.000000 K
 188.4475     -1.179748698
 183.1165     -1.180994710
 177.8865     -1.180757294
 172.7240     -1.179054342
 167.6965     -1.177202631
 162.7700     -1.172386303
 153.2210     -1.160113833
 144.0095     -1.138699833
 135.2030     -1.108900835
 126.7675     -1.065392537
 118.6695     -1.007088858
 110.9430     -0.931688968
# T= 3700.000000 K
 188.4475     -1.192050875
 183.1165     -1.193156847
 177.8865     -1.192770857
 172.7240     -1.190905651
 167.6965     -1.188938677
 162.7700     -1.183967306
 153.2210     -1.171466830
 144.0095     -1.149830275
 135.2030     -1.119875281
 126.7675     -1.076210462
 118.6695     -1.017785564
 110.9430     -0.942330420
# T= 3800.000000 K
 188.4475     -1.204455513
 183.1165     -1.205421475
 177.8865     -1.204886958
 172.7240     -1.202859318
 167.6965     -1.200777170
 162.7700     -1.195650761
 153.2210     -1.182922226
 144.0095     -1.161063241
 135.2030     -1.130952110
 126.7675     -1.087130713
 118.6695     -1.028584295
 110.9430     -0.953073368
# T= 3900.000000 K
 188.4475     -1.216959925
 183.1165     -1.217785905
 177.8865     -1.217102908
 172.7240     -1.214912659
 167.6965     -1.212715425
 162.7700     -1.207433986
 153.2210     -1.194477339
 144.0095     -1.172396051
 135.2030     -1.142128646
 126.7675     -1.098150619
 118.6695     -1.039482391
 110.9430     -0.963915174
# T= 4000.000000 K
 188.4475     -1.229561559
 183.1165     -1.230247585
 177.8865     -1.229416154
 172.7240     -1.227063127
 167.6965     -1.224750893
 162.7700     -1.219314431
 153.2210     -1.206129626
 144.0095     -1.183826157
 135.2030     -1.153402350
 126.7675     -1.109267646
 118.6695     -1.050477329
 110.9430     -0.974853329
