# T (K)      fittedE (Ry.)      P (GPa)
# V = 188.447500 (a.u.^3)
 3800.0      -0.7490877417180      10.1473218365457
 3900.0      -0.7452973463574      10.5437431198227
 4000.0      -0.7415065734946      10.9401623126073
 4100.0      -0.7377154195329      11.3365768181162
 4200.0      -0.7339239715868      11.7329846928447
 4300.0      -0.7301322132205      12.1293849895386
 4400.0      -0.7263401325802      12.5257753563940
 4500.0      -0.7225478178789      12.9221548624885
 4600.0      -0.7187552577442      13.3185223809161
 4700.0      -0.7149624753657      13.7148772094021
 4800.0      -0.7111694623147      14.1112188743193
 4900.0      -0.7073762168412      14.5075453505032
 5000.0      -0.7035827470865      14.9038563929742
 5100.0      -0.6997892706333      15.3001515934332
 5200.0      -0.6959954255906      15.6964329933765
 5300.0      -0.6922014885435      16.0926942396673
 5400.0      -0.6884074119585      16.4889415874505
 5500.0      -0.6846130990510      16.8851683732820
 5600.0      -0.6808188207965      17.2813794967530
 5700.0      -0.6770242800050      17.6775725733958
 5800.0      -0.6732296786855      18.0737478155261
 5900.0      -0.6694347586356      18.4699040962377
 6000.0      -0.6656404771392      18.8660425261047
# V = 167.309909 (a.u.^3)
    0.0      -0.8837912635537      -3.0897939807164
  100.0      -0.8833285643655      -3.0572810844741
  200.0      -0.8817102045813      -2.9068431327373
  300.0      -0.8791109934434      -2.6568278866274
  400.0      -0.8760800598463      -2.3491359656129
  500.0      -0.8727707286270      -2.0101202710160
  600.0      -0.8693189509605      -1.6531591860731
  700.0      -0.8657732756300      -1.2852182475219
  800.0      -0.8621683211138      -0.9101644578525
  900.0      -0.8585220125065      -0.5302824556917
 1000.0      -0.8548463913801      -0.1469972545259
 1100.0      -0.8511490858555       0.2387613991861
 1200.0      -0.8474353709288       0.6263637691312
 1300.0      -0.8437089213707       1.0153694882031
 1400.0      -0.8399724105012       1.4054617161596
 1500.0      -0.8362278108524       1.7964079755561
 1600.0      -0.8324766164520       2.1880334898024
 1700.0      -0.8287199629521       2.5802052839888
 1800.0      -0.8249587580352       2.9728193479563
 1900.0      -0.8211937101045       3.3657953202405
 2000.0      -0.8174253860494       3.7590680036122
 2100.0      -0.8136542533826       4.1525860666857
 2200.0      -0.8098806793722       4.5463067768584
 2300.0      -0.8061050097738       4.9401962452899
 2400.0      -0.8023274677487       5.3342261686741
 2500.0      -0.7985482859586       5.7283722287057
 2600.0      -0.7947676757399       6.1226151863227
 2700.0      -0.7909857781830       6.5169387258858
 2800.0      -0.7872027135703       6.9113286222480
 2900.0      -0.7834186324715       7.3057725937670
 3000.0      -0.7796336203074       7.7002612005635
 3100.0      -0.7758477547019       8.0947852150735
 3200.0      -0.7720611350182       8.4893374512299
 3300.0      -0.7682738147488       8.8839111312645
 3400.0      -0.7644858849219       9.2785010779424
 3500.0      -0.7606973690679       9.6731027999716
 3600.0      -0.7569083081495      10.0677115774124
 3700.0      -0.7531187638141      10.4623237355713
 3800.0      -0.7493287685265      10.8569365796729
 3900.0      -0.7455383681595      11.2515467943272
 4000.0      -0.7417475858657      11.6461525666852
 4100.0      -0.7379564166994      12.0407513326277
 4200.0      -0.7341649508033      12.4353412303097
 4300.0      -0.7303731701196      12.8299212471491
 4400.0      -0.7265810624741      13.2244891946618
 4500.0      -0.7227887182273      13.6190440929295
 4600.0      -0.7189961252861      14.0135848477101
 4700.0      -0.7152033087882      14.4081107893927
 4800.0      -0.7114102571771      14.8026214443503
 4900.0      -0.7076169695327      15.1971149834020
 5000.0      -0.7038234545261      15.5915911125724
 5100.0      -0.7000299383380      15.9860494235622
 5200.0      -0.6962360419481      16.3804918272120
 5300.0      -0.6924420551757      16.7749124603441
 5400.0      -0.6886479278065      17.1693170554804
 5500.0      -0.6848535575422      17.5636995697917
 5600.0      -0.6810592292331      17.9580644782379
 5700.0      -0.6772646307310      18.3524095433391
