# T (K)      fittedC_V_V (J K^-1 mol^-1)
# V= 188.447500 (a.u.^3)
  900.0      48.4664419063603
 1000.0      48.7201192533507
 1100.0      48.9091304548640
 1200.0      49.0545498867335
 1300.0      49.1679958280198
 1400.0      49.2590625652306
 1500.0      49.3322601049668
 1600.0      49.3931291286100
 1700.0      49.4424527768747
 1800.0      49.4856491654026
 1900.0      49.5203497503086
 2000.0      49.5518848286996
 2100.0      49.5772467480407
 2200.0      49.6007396862205
 2300.0      49.6209037844202
 2400.0      49.6374564730675
 2500.0      49.6536283256514
 2600.0      49.6674344937130
 2700.0      49.6796085205169
 2800.0      49.6897971614269
 2900.0      49.7010314711074
 3000.0      49.7084850465083
 3100.0      49.7175040259501
 3200.0      49.7239254871591
 3300.0      49.7311084273481
 3400.0      49.7376455767794
 3500.0      49.7423735674563
 3600.0      49.7474109667634
 3700.0      49.7527643141217
 3800.0      49.7561469487037
 3900.0      49.7612580865477
 4000.0      49.7640558174814
 4100.0      49.7672846308478
 4200.0      49.7718432300942
 4300.0      49.7728316730135
 4400.0      49.7770381721163
 4500.0      49.7786645555174
 4600.0      49.7816143923170
 4700.0      49.7848735564212
 4800.0      49.7845174123098
 4900.0      49.7879238956253
 5000.0      49.7874191528885
 5100.0      49.7990727762060
 5200.0      49.7816665976171
 5300.0      49.8058042185680
 5400.0      49.7850773237854
 5500.0      49.8044817610280
 5600.0      49.7956658103366
 5700.0      49.8017246629190
 5800.0      49.7974194926874
 5900.0      49.8072590707034
 6000.0      49.7883279158334
# V= 182.967384 (a.u.^3)
    0.0       0.0000000000000
  100.0      15.4240025141348
  200.0      34.2924731207786
  300.0      39.5443913055928
  400.0      43.9481888386119
  500.0      45.6413691133191
  600.0      46.9001265678398
  700.0      47.6118164070760
  800.0      48.1182389198506
  900.0      48.4639452359598
 1000.0      48.7180411548783
 1100.0      48.9073696046198
 1200.0      49.0530313278826
 1300.0      49.1666743896054
 1400.0      49.2578901298597
 1500.0      49.3312181821210
 1600.0      49.3921829259507
 1700.0      49.4416053874733
 1800.0      49.4848588673100
 1900.0      49.5196363630437
 2000.0      49.5512099465407
 2100.0      49.5766314118237
 2200.0      49.6001558397255
 2300.0      49.6203506424719
 2400.0      49.6369495355047
 2500.0      49.6531369177399
 2600.0      49.6669684240439
 2700.0      49.6791635098746
 2800.0      49.6893836086716
 2900.0      49.7006145495719
 3000.0      49.7081066898954
 3100.0      49.7171251541320
 3200.0      49.7235720076646
 3300.0      49.7307599927049
 3400.0      49.7373018671074
 3500.0      49.7420519334224
 3600.0      49.7470976540359
 3700.0      49.7524567873114
 3800.0      49.7558531049893
 3900.0      49.7609618978905
 4000.0      49.7637757207234
 4100.0      49.7670193155389
 4200.0      49.7715583988953
 4300.0      49.7725859657466
 4400.0      49.7767787535693
 4500.0      49.7784181954625
 4600.0      49.7813691343984
 4700.0      49.7846227763348
 4800.0      49.7842959646647
 4900.0      49.7876987857653
