# T (K)      B_T_P (GPa)
# P = 600.000000 (GPa)
 4400.0    2039.0209696290199
 4450.0    2038.3705050715535
 4500.0    2038.8450368162230
 4550.0    2038.1338310618953
 4600.0    2037.5281868150846
 4650.0    2036.5351848309601
 4700.0    2036.0608689199776
 4750.0    2035.8684537152212
 4800.0    2035.0122484365766
 4850.0    2034.9518378568632
 4900.0    2034.0850847404508
 4950.0    2033.7938348866296
 5000.0    2033.4342855842121
# P = 602.000000 (GPa)
    1.0    2089.6183818027725
   50.0    2088.9943523111115
  100.0    2088.2912571627808
  150.0    2087.6237901951372
  200.0    2086.9306255055271
  250.0    2086.2412343837823
  300.0    2085.5781563320293
  350.0    2084.8804026974899
  400.0    2084.2034732582379
  450.0    2083.5390148653210
  500.0    2082.8651855775688
  550.0    2083.1655629925731
  600.0    2082.5085922901208
  650.0    2081.8599693161796
  700.0    2080.8977862822967
  750.0    2080.2768768157330
  800.0    2079.6372525792008
  850.0    2078.9818286879131
  900.0    2078.0446167678442
  950.0    2077.3781704677040
 1000.0    2076.9152784013813
 1050.0    2076.1452918256205
 1100.0    2075.4560115806644
 1150.0    2074.7712760466879
 1200.0    2074.1051956102033
 1250.0    2073.5068553110564
 1300.0    2073.5293957333452
 1350.0    2072.8806305666126
 1400.0    2072.0704423020193
 1450.0    2071.4227573804646
 1500.0    2070.1654642205458
 1550.0    2069.8306107692870
 1600.0    2069.7262091105326
 1650.0    2069.4567713345832
 1700.0    2068.8356102244038
 1750.0    2068.6568932908326
 1800.0    2068.0661700373275
 1850.0    2067.4831164557786
 1900.0    2066.5462496243958
 1950.0    2066.4808341773160
 2000.0    2066.0363593091133
 2050.0    2065.4222981748203
 2100.0    2064.8219136357047
 2150.0    2064.1684169617556
 2200.0    2063.2589146715686
 2250.0    2062.5428817953743
 2300.0    2061.8598095581219
 2350.0    2061.9816597711952
 2400.0    2061.2984281353179
 2450.0    2060.6119710706021
 2500.0    2060.5886411495094
 2550.0    2059.9070146216063
 2600.0    2059.2599179399485
 2650.0    2059.0159146873320
 2700.0    2058.4328328961155
 2750.0    2058.5655510115175
 2800.0    2058.0060778156799
 2850.0    2057.4639185291894
 2900.0    2056.9869355271298
 2950.0    2056.4433621283838
 3000.0    2055.6438876001175
 3050.0    2054.9457963514119
 3100.0    2053.2310147172907
 3150.0    2052.3827988446674
 3200.0    2052.9484693800091
 3250.0    2052.6797209883580
 3300.0    2051.9705605066179
 3350.0    2051.8323301121141
 3400.0    2049.8806907133517
 3450.0    2049.4924538832220
 3500.0    2050.0596397167928
 3550.0    2049.4871566725028
 3600.0    2048.7382239633339
 3650.0    2048.6345008242702
 3700.0    2048.1071383070012
 3750.0    2048.2845940080961
 3800.0    2047.5987078245259
 3850.0    2046.9397596472152
 3900.0    2047.2732677469196
 3950.0    2046.6681218466738
 4000.0    2045.0078179721495
 4050.0    2044.1712987095007
 4100.0    2045.0870149741420
 4150.0    2044.4057477504757
 4200.0    2043.6268523802587
 4250.0    2042.5964953952905
 4300.0    2043.7114802995898
 4350.0    2043.3428532558387
 4400.0    2042.7208984431816
 4450.0    2042.0699488281161
 4500.0    2042.5299546146216
 4550.0    2041.8190180236400
 4600.0    2041.2123642058023
 4650.0    2040.2227309887232
 4700.0    2039.7460598698813
 4750.0    2039.5474323270496
 4800.0    2038.6934843283782
 4850.0    2038.6255909235176
 4900.0    2037.7608575179092
 4950.0    2037.4649440897638
 5000.0    2037.1016686839905
# P = 604.000000 (GPa)
    1.0    2093.6465471560746
   50.0    2093.0215709463300
  100.0    2092.3153212511984
  150.0    2091.6441137026918
  200.0    2090.9478527260776
  250.0    2090.2552936068128
  300.0    2089.5887217797781
  350.0    2088.8881863903689
  400.0    2088.2081429392333
  450.0    2087.5402120521962
