# V (a.u.^3)  Helmholtz Free Energy (Ry.)
# T= 0.000000 K
  52.9070     -0.023800082
# T= 1450.000000 K
  60.6676     -0.403162318
  59.8578     -0.371603847
  59.1155     -0.339573906
  58.3732     -0.308078447
  57.6308     -0.276890019
  56.9560     -0.245714149
  56.3487     -0.214613407
  55.6738     -0.184000330
  55.0665     -0.153538424
  54.5266     -0.123000390
  53.9867     -0.092716287
  53.4469     -0.062485389
  52.9070     -0.032377551
# T= 1500.000000 K
  60.6676     -0.412016603
  59.8578     -0.380434151
  59.1155     -0.348380606
  58.3732     -0.316862730
  57.6308     -0.285653138
  56.9560     -0.254457148
  56.3487     -0.223337365
  55.6738     -0.192713915
  55.0665     -0.162242596
  54.5266     -0.131688486
  53.9867     -0.101389015
  53.4469     -0.071143096
  52.9070     -0.041020545
# T= 1550.000000 K
  60.6676     -0.420934230
  59.8578     -0.389327799
  59.1155     -0.357250648
  58.3732     -0.325710356
  57.6308     -0.294479598
  56.9560     -0.263263489
  56.3487     -0.232124664
  55.6738     -0.201490841
  55.0665     -0.171010110
  54.5266     -0.140439925
  53.9867     -0.110125085
  53.4469     -0.079864145
  52.9070     -0.049726881
# T= 1600.000000 K
  60.6676     -0.429913157
  59.8578     -0.398282745
  59.1155     -0.366181989
  58.3732     -0.334619280
  57.6308     -0.303367357
  56.9560     -0.272131129
  56.3487     -0.240973262
  55.6738     -0.210329065
  55.0665     -0.179838921
  54.5266     -0.149252661
  53.9867     -0.118922453
  53.4469     -0.088646492
  52.9070     -0.058494515
# T= 1650.000000 K
  60.6676     -0.438951467
  59.8578     -0.407297074
  59.1155     -0.375172713
  58.3732     -0.343587588
  57.6308     -0.312314499
  56.9560     -0.281058151
  56.3487     -0.249881242
  55.6738     -0.219226672
  55.0665     -0.188727115
  54.5266     -0.158124780
  53.9867     -0.127779202
  53.4469     -0.097488221
  52.9070     -0.067321531
# T= 1700.000000 K
  60.6676     -0.448047361
  59.8578     -0.416368986
  59.1155     -0.384221020
  58.3732     -0.352613478
  57.6308     -0.321319224
  56.9560     -0.290042756
  56.3487     -0.258846805
  55.6738     -0.228181861
  55.0665     -0.197672892
  54.5266     -0.167054481
  53.9867     -0.136693534
  53.4469     -0.106387532
  52.9070     -0.076206129
# T= 1750.000000 K
  60.6676     -0.457199144
  59.8578     -0.425496788
  59.1155     -0.393325217
  58.3732     -0.361695257
  57.6308     -0.330379838
  56.9560     -0.299083250
  56.3487     -0.267868257
  55.6738     -0.237192939
  55.0665     -0.206674557
  54.5266     -0.176040071
  53.9867     -0.145663755
  53.4469     -0.115342731
  52.9070     -0.085146615
# T= 1800.000000 K
  60.6676     -0.466405219
  59.8578     -0.434678882
  59.1155     -0.402483705
  58.3732     -0.370831329
  57.6308     -0.339494744
  56.9560     -0.308178036
  56.3487     -0.276944000
  55.6738     -0.246258309
  55.0665     -0.215730514
  54.5266     -0.185079952
  53.9867     -0.154688267
  53.4469     -0.124352222
  52.9070     -0.094141392
# T= 1850.000000 K
  60.6676     -0.475664077
