# T (K)      C_V_V (J K^-1 mol^-1)
# V = 157.405100 (a.u.^3)
  600.0     124.9477586499157
  650.0     124.4231858035065
  700.0     125.6846209974720
  750.0     118.1829274994583
  800.0     131.1524862939183
  850.0     122.7938621664412
  900.0     124.7236822491595
  950.0     125.9396678099604
 1000.0     123.0530070223186
 1050.0     125.0760657120503
 1100.0     124.3429106920619
 1150.0     125.1696216879644
 1200.0     122.8572619265169
 1250.0     131.2430023916864
 1300.0     116.3981630756650
 1350.0     133.4985012545902
 1400.0     126.8192173860532
 1450.0      75.3601249312337
 1500.0     204.9064849608122
 1550.0      70.5987946757024
 1600.0     143.1809467965861
 1650.0     121.6335751715058
 1700.0     123.8829638993553
 1750.0     124.8887025767696
 1800.0     124.4904013996813
 1850.0     125.0072387357671
 1900.0     123.9611866333056
 1950.0     126.6299402048383
 2000.0     143.9256300362805
 2050.0      96.7453216927895
 2100.0     138.1595474165320
 2150.0     106.5603916912947
 2200.0     141.7488997008663
 2250.0     119.8296605170147
 2300.0     121.6719423476872
 2350.0     132.0318035505116
 2400.0     113.9139843021142
 2450.0     133.7084071603281
 2500.0     117.8400151719160
 2550.0     127.5535537069806
 2600.0     121.1750753292081
 2650.0     139.3133190546203
 2700.0      40.3483787768617
 2750.0     533.2040608812576
 2800.0    -263.6696241850876
 2850.0     165.8710974459757
 2900.0     240.5857225220630
 2950.0    -404.9880561784013
 3000.0     668.1904417523065
 3050.0     -32.2699945094501
 3100.0     186.3603191204851
 3150.0      91.2199779742315
 3200.0     135.5102626677947
 3250.0     134.8070394341337
 3300.0     115.8737541045848
 3350.0     120.0152557515016
 3400.0     123.8123592067329
 3450.0     131.0747075507270
 3500.0     131.9485619102705
 3550.0      98.2145111997030
 3600.0     149.0919328125787
 3650.0     126.3532228670447
 3700.0     112.0482296846528
 3750.0     123.4093306155254
 3800.0     142.5396813001153
 3850.0      92.7152272776554
 3900.0     155.0913477937654
 3950.0     109.9456402526364
 4000.0     133.9417768412368
 4050.0     108.7083874668866
 4100.0     142.6071232103843
 4150.0     102.5075982990295
 4200.0     125.6078670279398
 4250.0     167.8531174924529
 4300.0      81.1250397592896
 4350.0     120.4321145166658
 4400.0     162.1521273541733
 4450.0      85.1890617047187
 4500.0     147.2379934725199
 4550.0     127.9984742397179
 4600.0     112.7265933904977
 4650.0     128.3448726337089
 4700.0     165.5788896142819
 4750.0      37.0019871666373
