# T (K)     Thermal pressure (GPa)
# V=  41.1649000000000
 4900.0     -27.1576984936057
 4950.0     -27.5317007493069
 5000.0     -27.9065258505490
# V=  40.6972858585859
    0.0       0.0000000000000
   50.0       0.0851030032024
  100.0       0.1558584186672
  150.0       0.2014754680171
  200.0       0.1983005164761
  250.0       0.2476445216627
  300.0       0.2649697707287
  350.0       0.1539676336930
  400.0       0.1834188079511
  450.0       0.1042773988821
  500.0       0.2128426751533
  550.0       0.1352729243406
  600.0       0.0646197143518
  650.0      -0.0150118253400
  700.0      -0.1106848150007
  750.0      -0.2264930510388
  800.0      -0.3493167669826
  850.0      -0.5101610914897
  900.0      -0.7343636162261
  950.0      -0.9705271785730
 1000.0      -1.8461830957875
 1050.0      -1.9623999495801
 1100.0      -2.0281151880647
 1150.0      -2.0828746952625
 1200.0      -2.2229010153343
 1250.0      -2.4639844615273
 1300.0      -2.7241602434103
 1350.0      -2.9850813429669
 1400.0      -3.2506720879061
 1450.0      -3.5180415886629
 1500.0      -3.7887199304607
 1550.0      -4.0607591010983
 1600.0      -4.3355701828904
 1650.0      -4.6120593910592
 1700.0      -4.8917910753041
 1750.0      -5.1728410925992
 1800.0      -5.4562432648904
 1850.0      -5.7412743389970
 1900.0      -6.0291541416849
 1950.0      -6.3179270010580
 2000.0      -6.6093352036424
 2050.0      -6.9012520573050
 2100.0      -7.1957440463668
 2150.0      -7.4915672054084
 2200.0      -7.7905374046519
 2250.0      -8.0895824778177
 2300.0      -8.3905027225932
 2350.0      -8.6934095026073
 2400.0      -8.9976449823907
 2450.0      -9.3029653705255
 2500.0      -9.6103999405033
 2550.0      -9.9194492565604
 2600.0     -10.2295813414806
 2650.0     -10.5404207640754
 2700.0     -10.8534710252018
 2750.0     -11.1675805289869
 2800.0     -11.4827443431752
 2850.0     -11.7994286148902
 2900.0     -12.1174956125350
 2950.0     -12.4369465201778
 3000.0     -12.7563439691958
 3050.0     -13.0782663001373
 3100.0     -13.4013778598966
 3150.0     -13.7249826411044
 3200.0     -14.0501543320478
 3250.0     -14.3766999378227
 3300.0     -14.7035677203113
 3350.0     -15.0318061634861
 3400.0     -15.3612518986388
 3450.0     -15.6916702271768
 3500.0     -16.0227376576628
 3550.0     -16.3555315816584
 3600.0     -16.6895155429042
 3650.0     -17.0236247907844
 3700.0     -17.3591706315189
 3750.0     -17.6958424922593
 3800.0     -18.0330638748361
 3850.0     -18.3714462523352
 3900.0     -18.7109409881466
 3950.0     -19.0511456543327
 4000.0     -19.3923652627055
 4050.0     -19.7344278008609
 4100.0     -20.0773899979010
 4150.0     -20.4211174825324
 4200.0     -20.7656579032813
 4250.0     -21.1113830533898
 4300.0     -21.4575699736531
 4350.0     -21.8047495102984
 4400.0     -22.1528336625817
 4450.0     -22.5015868948966
 4500.0     -22.8511262748133
 4550.0     -23.2018294995812
 4600.0     -23.5531127583909
 4650.0     -23.9049341597357
