# V (a.u.^3)  Helmholtz Free Energy (Ry.)
# T= 0.000000 K
 153.3900     -0.993053947
 148.7330     -0.985107610
 144.1450     -0.975918781
 139.6910     -0.963056913
 135.3720     -0.948391360
 131.0530     -0.929605216
 126.8690     -0.908265865
 122.7520     -0.881589224
 118.7710     -0.853336537
 114.8570     -0.818181580
# T= 2100.000000 K
 188.6160     -1.011703400
 178.0210     -1.016933839
 167.8990     -1.011615001
 162.9050     -1.010859941
 158.1140     -1.006569417
 153.3900     -1.002163427
 148.7330     -0.994087055
 144.1450     -0.984824305
 139.6910     -0.971860151
 135.3720     -0.957138931
 131.0530     -0.938274053
 126.8690     -0.916903481
 122.7520     -0.890144439
 118.7710     -0.861947016
 114.8570     -0.826744210
# T= 2200.000000 K
 188.6160     -1.022136133
 178.0210     -1.027067273
 167.8990     -1.021196692
 162.9050     -1.020366830
 158.1140     -1.015921746
 153.3900     -1.011452453
 148.7330     -1.003245881
 144.1450     -0.993908825
 139.6910     -0.980842552
 135.3720     -0.966065298
 131.0530     -0.947121646
 126.8690     -0.925719643
 122.7520     -0.898878078
 118.7710     -0.870735886
 114.8570     -0.835484363
# T= 2300.000000 K
 188.6160     -1.032740896
 178.0210     -1.037372604
 167.8990     -1.030950177
 162.9050     -1.030045382
 158.1140     -1.025445640
 153.3900     -1.020912985
 148.7330     -1.012576066
 144.1450     -1.003164350
 139.6910     -0.989996129
 135.3720     -0.975162503
 131.0530     -0.956140052
 126.8690     -0.934706435
 122.7520     -0.907782246
 118.7710     -0.879695271
 114.8570     -0.844394221
# T= 2400.000000 K
 188.6160     -1.043510262
 178.0210     -1.047842421
 167.8990     -1.040868067
 162.9050     -1.039888220
 158.1140     -1.035133735
 153.3900     -1.030537670
 148.7330     -1.022070273
 144.1450     -1.012583565
 139.6910     -0.999313571
 135.3720     -0.984423261
 131.0530     -0.965322000
 126.8690     -0.943856604
 122.7520     -0.916849712
 118.7710     -0.888817954
 114.8570     -0.853466616
# T= 2500.000000 K
 188.6160     -1.054437419
 178.0210     -1.058469926
 167.8990     -1.050943579
 162.9050     -1.049888571
 158.1140     -1.044979269
 153.3900     -1.040319754
 148.7330     -1.031721760
 144.1450     -1.022159751
 139.6910     -1.008788162
 135.3720     -0.993840877
 131.0530     -0.974660805
 126.8690     -0.953163484
 122.7520     -0.926073825
 118.7710     -0.898097295
 114.8570     -0.862694953
# T= 2600.000000 K
 188.6160     -1.065516093
 178.0210     -1.069248856
 167.8990     -1.061170464
 162.9050     -1.060040197
 158.1140     -1.054976012
 153.3900     -1.050253014
 148.7330     -1.041524316
 144.1450     -1.031886717
 139.6910     -1.018413709
 135.3720     -1.003409177
 131.0530     -0.984150301
 126.8690     -0.962620924
 122.7520     -0.935448447
 118.7710     -0.907527166
 114.8570     -0.872073145
# T= 2700.000000 K
 188.6160     -1.076740489
 178.0210     -1.080173427
 167.8990     -1.071542950
 162.9050     -1.070337331
 158.1140     -1.065118205
 153.3900     -1.060331698
 148.7330     -1.051472199
 144.1450     -1.041758735
 139.6910     -1.028184486
 135.3720     -1.013122454
 131.0530     -0.993784788
 126.8690     -0.972223235
 122.7520     -0.944967901
 118.7710     -0.917101898
 114.8570     -0.881595558
# T= 2800.000000 K
 188.6160     -1.088105238
 178.0210     -1.091238277
 167.8990     -1.082055686
 162.9050     -1.080774630
 158.1140     -1.075400512
 153.3900     -1.070550475
 148.7330     -1.061560084
 144.1450     -1.051770498
 139.6910     -1.038095183
 135.3720     -1.022975411
 131.0530     -1.003558975
 126.8690     -0.981965140
 122.7520     -0.954626918
 118.7710     -0.926816228
 114.8570     -0.891256961
# T= 2900.000000 K
 188.6160     -1.099605351
 178.0210     -1.102438426
 167.8990     -1.092703698
 162.9050     -1.091347126
 158.1140     -1.085817971
 153.3900     -1.080904386
 148.7330     -1.071783021
 144.1450     -1.061917068
 139.6910     -1.048140862
 135.3720     -1.032963124
 131.0530     -1.013467944
 126.8690     -0.991841728
 122.7520     -0.964420596
 118.7710     -0.936665258
 114.8570     -0.901052485
# T= 3000.000000 K
 188.6160     -1.111236181
 178.0210     -1.113769233
 167.8990     -1.103482353
 162.9050     -1.102050193
 158.1140     -1.096365958
 153.3900     -1.091388813
 148.7330     -1.082136398
 144.1450     -1.072193844
 139.6910     -1.058316921
 135.3720     -1.043081003
 131.0530     -1.023507106
 126.8690     -1.001848420
 122.7520     -0.974344363
 118.7710     -0.946644422
 114.8570     -0.910977588
# T= 3100.000000 K
 188.6160     -1.122993390
 178.0210     -1.125226365
 167.8990     -1.114387323
 162.9050     -1.112879506
 158.1140     -1.107040155
 153.3900     -1.101999440
 148.7330     -1.092615904
 144.1450     -1.082596529
 139.6910     -1.068619058
 135.3720     -1.053324757
 131.0530     -1.033672176
 126.8690     -1.011980937
 122.7520     -0.984393944
 118.7710     -0.956749447
 114.8570     -0.921028024
# T= 3200.000000 K
 188.6160     -1.134872916
 178.0210     -1.136805766
 167.8990     -1.125414559
 162.9050     -1.123831019
 158.1140     -1.117836520
 153.3900     -1.112732226
 148.7330     -1.103217505
 144.1450     -1.093121095
 139.6910     -1.079043246
 135.3720     -1.063690368
 131.0530     -1.043959136
 126.8690     -1.022235270
 122.7520     -0.994565336
 118.7710     -0.966976333
 114.8570     -0.931199814
# T= 3300.000000 K
 188.6160     -1.146870952
 178.0210     -1.148503631
 167.8990     -1.136560259
 162.9050     -1.134900936
 158.1140     -1.128751258
 153.3900     -1.123583381
 148.7330     -1.113937413
 144.1450     -1.103763767
 139.6910     -1.089585705
 135.3720     -1.074174066
 131.0530     -1.054364220
 126.8690     -1.032607655
 122.7520     -1.004854780
 118.7710     -0.977321324
 114.8570     -0.941489220
# T= 3400.000000 K
 188.6160     -1.158983917
 178.0210     -1.160316387
 167.8990     -1.147820854
 162.9050     -1.146085690
 158.1140     -1.139780805
 153.3900     -1.134549343
 148.7330     -1.124772070
 144.1450     -1.114520993
 139.6910     -1.100242882
 135.3720     -1.084772306
 131.0530     -1.064883883
 126.8690     -1.043094556
 122.7520     -1.015258741
 118.7710     -0.987780886
 114.8570     -0.951892729
# T= 3500.000000 K
 188.6160     -1.171208444
 178.0210     -1.172240666
 167.8990     -1.159192979
 162.9050     -1.157381920
 158.1140     -1.150921805
 153.3900     -1.145626754
 148.7330     -1.135718125
 144.1450     -1.125389429
 139.6910     -1.111011430
 135.3720     -1.095481747
 131.0530     -1.075514788
 126.8690     -1.053692637
 122.7520     -1.025773890
 118.7710     -0.998351690
 114.8570     -0.962407027
# T= 3600.000000 K
 188.6160     -1.183541354
 178.0210     -1.184273295
 167.8990     -1.170673463
 162.9050     -1.168786458
 158.1140     -1.162171089
 153.3900     -1.156812451
 148.7330     -1.146772413
 144.1450     -1.136365920
 139.6910     -1.121888192
 135.3720     -1.106299239
 131.0530     -1.086253784
 126.8690     -1.064398754
 122.7520     -1.036397081
 118.7710     -1.009030594
 114.8570     -0.973028990
# T= 3700.000000 K
 188.6160     -1.195979646
 178.0210     -1.196411274
 167.8990     -1.182259308
 162.9050     -1.180296308
 158.1140     -1.173525665
 153.3900     -1.168103442
 148.7330     -1.157931948
 144.1450     -1.147447484
 139.6910     -1.132870181
 135.3720     -1.117221804
 131.0530     -1.097097894
 126.8690     -1.075209932
 122.7520     -1.047125345
 118.7710     -1.019814627
 114.8570     -0.983755660
# T= 3800.000000 K
 188.6160     -1.208520478
 178.0210     -1.208651765
 167.8990     -1.193947680
 162.9050     -1.191908637
 158.1140     -1.184982702
 153.3900     -1.179496896
 148.7330     -1.169193902
 144.1450     -1.158631299
 139.6910     -1.143954575
 135.3720     -1.128246623
 131.0530     -1.108044300
 126.8690     -1.086123356
 122.7520     -1.057955868
 118.7710     -1.030700977
 114.8570     -0.994584239
# T= 3900.000000 K
 188.6160     -1.221161160
 178.0210     -1.220992079
 167.8990     -1.205735891
 162.9050     -1.203620760
 158.1140     -1.196539516
 153.3900     -1.190990130
 148.7330     -1.180555593
 144.1450     -1.169914690
 139.6910     -1.155138696
 135.3720     -1.139371024
 131.0530     -1.119090330
 126.8690     -1.097136359
 122.7520     -1.068885983
 118.7710     -1.041686977
 114.8570     -1.005512074
# T= 4000.000000 K
 188.6160     -1.233899138
 178.0210     -1.233429664
 167.8990     -1.217621389
 162.9050     -1.215430129
 158.1140     -1.208193559
 153.3900     -1.202580599
 148.7330     -1.192014477
 144.1450     -1.181295118
 139.6910     -1.166420001
 135.3720     -1.150592470
 131.0530     -1.130233448
 126.8690     -1.108246406
 122.7520     -1.079913159
 118.7710     -1.052770095
 114.8570     -1.016536644
# T= 4100.000000 K
 188.6160     -1.246731985
 178.0210     -1.245962094
 167.8990     -1.229601752
 162.9050     -1.227334320
 158.1140     -1.219942412
 153.3900     -1.214265881
 148.7330     -1.203568137
 144.1450     -1.192770170
 139.6910     -1.177796076
 135.3720     -1.161908551
 131.0530     -1.141471243
 126.8690     -1.119451090
 122.7520     -1.091034988
 118.7710     -1.063947925
 114.8570     -1.027655554
# T= 4200.000000 K
 188.6160     -1.259657392
 178.0210     -1.258587063
 167.8990     -1.241674673
 162.9050     -1.239331031
 158.1140     -1.231783769
 153.3900     -1.226043675
 148.7330     -1.215214271
 144.1450     -1.204337550
 139.6910     -1.189264622
 135.3720     -1.173316971
 131.0530     -1.152801421
 126.8690     -1.130748118
 122.7520     -1.102249179
 118.7710     -1.075218175
 114.8570     -1.038866523
# T= 4300.000000 K
 188.6160     -1.272673160
 178.0210     -1.271302373
 167.8990     -1.253837955
 162.9050     -1.251418065
 158.1140     -1.243715439
 153.3900     -1.237911786
 148.7330     -1.226950689
 144.1450     -1.215995071
 139.6910     -1.200823449
 135.3720     -1.184815545
 131.0530     -1.164221797
 126.8690     -1.142135306
 122.7520     -1.113553549
 118.7710     -1.086578663
 114.8570     -1.050167379
# T= 4400.000000 K
 188.6160     -1.285777193
 178.0210     -1.284105929
 167.8990     -1.266089504
 162.9050     -1.263593329
 158.1140     -1.255735326
 153.3900     -1.249868123
 148.7330     -1.238775298
 144.1450     -1.227740645
 139.6910     -1.212470467
 135.3720     -1.196402189
 131.0530     -1.175730284
 126.8690     -1.153610571
 122.7520     -1.124946017
 118.7710     -1.098027306
 114.8570     -1.061556049
# T= 4500.000000 K
 188.6160     -1.298967487
 178.0210     -1.296995729
 167.8990     -1.278427319
 162.9050     -1.275854824
 158.1140     -1.267841435
 153.3900     -1.261910689
 148.7330     -1.250686104
 144.1450     -1.239572280
 139.6910     -1.224203682
 135.3720     -1.208074910
 131.0530     -1.187324892
 126.8690     -1.165171924
 122.7520     -1.136424592
 118.7710     -1.109562114
 114.8570     -1.073030551
# T= 4600.000000 K
 188.6160     -1.312242129
 178.0210     -1.309969861
 167.8990     -1.290849489
 162.9050     -1.288200639
 158.1140     -1.280031855
 153.3900     -1.274037572
 148.7330     -1.262681197
 144.1450     -1.251488073
 139.6910     -1.236021188
 135.3720     -1.219831805
 131.0530     -1.199003717
 126.8690     -1.176817463
 122.7520     -1.147987374
 118.7710     -1.121181186
 114.8570     -1.084588993
# T= 4700.000000 K
 188.6160     -1.325599290
 178.0210     -1.323026495
 167.8990     -1.303354184
 162.9050     -1.300628947
 158.1140     -1.292304758
 153.3900     -1.286246948
 148.7330     -1.274758753
 144.1450     -1.263486200
 139.6910     -1.247921159
 135.3720     -1.231671053
 131.0530     -1.210764938
 126.8690     -1.188545367
 122.7520     -1.159632543
 118.7710     -1.132882701
 114.8570     -1.096229563
# T= 4800.000000 K
 188.6160     -1.339037215
 178.0210     -1.336163880
 167.8990     -1.315939653
 162.9050     -1.313137998
 158.1140     -1.304658396
 153.3900     -1.298537066
 148.7330     -1.286917022
 144.1450     -1.275564917
 139.6910     -1.259901849
 135.3720     -1.243590910
 131.0530     -1.222606810
 126.8690     -1.200353894
 122.7520     -1.171358357
 118.7710     -1.144664918
 114.8570     -1.107950526
# T= 4900.000000 K
 188.6160     -1.352554227
 178.0210     -1.349380337
 167.8990     -1.328604217
 162.9050     -1.325726113
 158.1140     -1.317091090
 153.3900     -1.310906250
 148.7330     -1.299154330
 144.1450     -1.287722550
 139.6910     -1.271961583
 135.3720     -1.255589704
 131.0530     -1.234527662
 126.8690     -1.212241372
 122.7520     -1.183163144
 118.7710     -1.156526165
 114.8570     -1.119750217
# T= 5000.000000 K
 188.6160     -1.366148712
 178.0210     -1.362674255
 167.8990     -1.341346267
 162.9050     -1.338391684
 158.1140     -1.329601233
 153.3900     -1.323352890
 148.7330     -1.311469068
 144.1450     -1.299957496
 139.6910     -1.284098754
 135.3720     -1.267665831
 131.0530     -1.246525887
 126.8690     -1.224206199
 122.7520     -1.195045302
 118.7710     -1.168464838
