# P (GPa)             Gibbs free energy (Ry.)
# T= 0.000000 K
   26.0      -0.6229065699396
   27.0      -0.6129215210486
   28.0      -0.6029726281055
   29.0      -0.5930592274898
   30.0      -0.5831806779504
   31.0      -0.5733363589537
   32.0      -0.5635256687315
   33.0      -0.5537480251040
   34.0      -0.5440028640760
   35.0      -0.5342896375942
   36.0      -0.5246078154376
   37.0      -0.5149568824802
   38.0      -0.5053363380569
   39.0      -0.4957456975061
   40.0      -0.4861844880306
# T= 700.000000 K
    0.0      -0.9033071604191
    1.0      -0.8920102625479
    2.0      -0.8807816854443
    3.0      -0.8696193479517
    4.0      -0.8585212809550
    5.0      -0.8474856184040
    6.0      -0.8365105898071
    7.0      -0.8255945134605
    8.0      -0.8147357901520
    9.0      -0.8039328973197
   10.0      -0.7931843838670
   11.0      -0.7824888654251
   12.0      -0.7718450200096
   13.0      -0.7612515840361
   14.0      -0.7507073486614
   15.0      -0.7402111564185
   16.0      -0.7297618981156
   17.0      -0.7193585099706
   18.0      -0.7089999709539
   19.0      -0.6986853003202
   20.0      -0.6884135554227
   21.0      -0.6781838296868
   22.0      -0.6679952505593
   23.0      -0.6578469776189
   24.0      -0.6477382007755
   25.0      -0.6376681388631
   26.0      -0.6276360386075
   27.0      -0.6176411726864
   28.0      -0.6076828381358
   29.0      -0.5977603557434
   30.0      -0.5878730693871
   31.0      -0.5780203437177
   32.0      -0.5682015634724
   33.0      -0.5584161339933
   34.0      -0.5486634783761
   35.0      -0.5389430371881
   36.0      -0.5292542692872
   37.0      -0.5195966483038
   38.0      -0.5099696642246
   39.0      -0.5003728222522
   40.0      -0.4908056404556
# T= 800.000000 K
    0.0      -0.9090352787558
    1.0      -0.8977067198161
    2.0      -0.8864480143327
    3.0      -0.8752569851739
    4.0      -0.8641315744447
    5.0      -0.8530698348049
    6.0      -0.8420699210618
    7.0      -0.8311300823270
    8.0      -0.8202486552801
    9.0      -0.8094240580200
   10.0      -0.7986547844405
   11.0      -0.7879393990859
   12.0      -0.7772765324242
   13.0      -0.7666648765536
   14.0      -0.7561031812735
   15.0      -0.7455902504719
   16.0      -0.7351249387985
   17.0      -0.7247061486034
   18.0      -0.7143328271448
   19.0      -0.7040039639872
   20.0      -0.6937185885824
   21.0      -0.6834757680121
   22.0      -0.6732746048680
   23.0      -0.6631142352484
   24.0      -0.6529938271064
   25.0      -0.6429125788723
   26.0      -0.6328697175177
   27.0      -0.6228644968764
   28.0      -0.6128961964302
   29.0      -0.6029641208698
   30.0      -0.5930675979875
   31.0      -0.5832059771349
   32.0      -0.5733786295500
   33.0      -0.5635849468749
   34.0      -0.5538243389507
   35.0      -0.5440962349456
   36.0      -0.5344000817142
   37.0      -0.5247353416644
   38.0      -0.5151014949581
   39.0      -0.5054980360049
   40.0      -0.4959244739929
# T= 900.000000 K
    0.0      -0.9152336268766
    1.0      -0.9038720296242
    2.0      -0.8925819018614
    3.0      -0.8813609624155
    4.0      -0.8702070588916
    5.0      -0.8591181569281
    6.0      -0.8480923308973
    7.0      -0.8371277560021
    8.0      -0.8262227008543
    9.0      -0.8153755205072
   10.0      -0.8045846503839
   11.0      -0.7938486007441
   12.0      -0.7831659516222
   13.0      -0.7725353481960
   14.0      -0.7619554965460
   15.0      -0.7514251597709
   16.0      -0.7409431544237
   17.0      -0.7305083472353
   18.0      -0.7201196520968
   19.0      -0.7097760272689
   20.0      -0.6994764727937
   21.0      -0.6892200280804
   22.0      -0.6790057696573
   23.0      -0.6688328093041
   24.0      -0.6587002922008
   25.0      -0.6486073949516
   26.0      -0.6385533237999
   27.0      -0.6285373130762
   28.0      -0.6185586244847
   29.0      -0.6086165452571
   30.0      -0.5987103863547
   31.0      -0.5888394818348
   32.0      -0.5790031885425
   33.0      -0.5692008835535
   34.0      -0.5594319635658
   35.0      -0.5496958455680
   36.0      -0.5399919636878
   37.0      -0.5303197694268
   38.0      -0.5206787320693
   39.0      -0.5110683350946
   40.0      -0.5014880786629
# T= 1000.000000 K
